Key,Type,Desc,English,Japanese
Card/cardname_P04,Text,,Biolab,バイオラボ
Card/cardname_P05,Text,,Biosphere Support,生物圏支援
Card/cardname_P06,Text,,Business Empire,ビジネスエンパイア
Card/cardname_P07,Text,,Dome Farming,ドーム農園
Card/cardname_P08,Text,,Donation,寄付金
Card/cardname_P09,Text,,Early Settlement,アーリーセトルメント
Card/cardname_P10,Text,,Ecology Experts,エコロジー専門家
Card/cardname_P11,Text,,Eccentric Sponsor,Eccentric スポンサー
Card/cardname_P12,Text,,Experimental Forest,実験林
Card/cardname_P13,Text,,Galilean Mining,ガリレイ・マイニング
Card/cardname_P14,Text,,Great Aquifer,大水層
Card/cardname_P15,Text,,Huge Asteroid,巨大な小惑星
Card/cardname_P16,Text,,Io Research Outpost,イオリサーチアウトポスト
Card/cardname_P17,Text,,Loan,貸出
Card/cardname_P18,Text,,Martian Industries,火星人産業
Card/cardname_P19,Text,,Metal-Rich Asteroid,金属を多く含む小惑星
Card/cardname_P20,Text,,Metals Company,金属カンパニー
Card/cardname_P21,Text,,Mining Operations,鉱業事業
Card/cardname_P22,Text,,Mohole,モホール
Card/cardname_P23,Text,,Mohole Excavation,モホール・エクスカベーション
Card/cardname_P24,Text,,Nitrogen Shipment,窒素の出荷
Card/cardname_P25,Text,,Orbital Construction Yard,オービタル・コンストラクション・ヤード
Card/cardname_P26,Text,,Polar Industries,ポーラ工業
Card/cardname_P27,Text,,Power Generation,電力事業
Card/cardname_P28,Text,,Research Network,研究ネットワーク
Card/cardname_P29,Text,,Self-Sufficient Settlement,自己完結型決済
Card/cardname_P30,Text,,Smelting Plant,製錬プラント
Card/cardname_P31,Text,,Society Support,社会的支援
Card/cardname_P32,Text,,Supplier,サプライヤー
Card/cardname_P33,Text,,Supply Drop,サプライドロップ
Card/cardname_P34,Text,,UNMI Contractor,UNMIコントラクター
Card/cardname_P35,Text,,Acquired Space Agency,取得した宇宙機関
Card/cardname_P36,Text,,House Printing,ハウスプリンティング
Card/cardname_P37,Text,,Lava Tube Settlement,溶岩洞窟の集落
Card/cardname_P38,Text,,Martian Survey,火星調査
Card/cardname_P39,Text,,Psychrophiles,精神異常者
Card/cardname_P40,Text,,Research Coordination,研究コーディネート
Card/cardname_P41,Text,,SF Memorial,SFメモリアル
Card/cardname_P42,Text,,Space Hotels,スペースホテル
Card/cardrequirement_001,Text,,Max 5% oxygen.,酸素濃度最大5％。
Card/cardrequirement_002,Text,,Must have titanium production,チタン製造が必須
Card/cardrequirement_004,Text,,At least 3 ocean tiles placed.,海洋タイルを3枚以上配置する。
Card/cardrequirement_005,Text,,Max 6% oxygen.,最大6％の酸素
Card/cardrequirement_008,Text,,At least 4 ocean tiles placed.,海洋タイルを4枚以上配置する。
Card/cardrequirement_016,Text,,Max 7% oxygen.,酸素濃度最大7％。
Card/cardrequirement_018,Text,,Min 2% oxygen.,酸素2％以上
Card/cardrequirement_023,Text,,Max -12°C temperature.,最高-12℃の温度。
Card/cardrequirement_024,Text,,Min 11% oxygen.,酸素濃度11％以上
Card/cardrequirement_026,Text,,Min -12°C temperature.,Min -12℃の温度。
Card/cardrequirement_027,Text,,At least 5 science tags.,サイエンスタグを5つ以上
Card/cardrequirement_029,Text,,Max 9% oxygen.,最大9％の酸素
Card/cardrequirement_034,Text,,Min 4% oxygen.,酸素4％以上
Card/cardrequirement_035,Text,,Min 4% oxygen.,酸素4％以上
Card/cardrequirement_042,Text,,Max -18°C temperature.,最高-18℃の温度。
Card/cardrequirement_044,Text,,Max 4% oxygen.,酸素最大4％。
Card/cardrequirement_046,Text,,At least 3 science tags.,サイエンスタグが3つ以上あること。
Card/cardrequirement_047,Text,,At least 5 ocean tiles placed.,海洋タイルを5枚以上配置する。
Card/cardrequirement_052,Text,,Min +2°C temperature.,Min +2℃の温度。
Card/cardrequirement_053,Text,,Min 0°C temperature.,Min 0℃の温度。
Card/cardrequirement_054,Text,,Min 6% oxygen.,酸素6％以上
Card/cardrequirement_055,Text,,At least 6 ocean tiles placed.,海洋タイルが6枚以上配置されていること。
Card/cardrequirement_058,Text,,At least 1 Jovian tag.,少なくとも1つの木星タグ。
Card/cardrequirement_059,Text,,Min +4°C temperature.,Min +4℃の温度。
Card/cardrequirement_060,Text,,Min -4°C temperature.,Min -4℃の温度。
Card/cardrequirement_061,Text,,Must have steel production.,鋼鉄生産があること。
Card/cardrequirement_069,Text,,Max 8% oxygen.,酸素最大8％。
Card/cardrequirement_072,Text,,Min 13% oxygen.,酸素濃度13％以上
Card/cardrequirement_079,Text,,At least 4 science tags.,サイエンスタグが4つ以上あること。
Card/cardrequirement_087,Text,,Min -16°C temperature.,Min -16℃の温度。
Card/cardrequirement_088,Text,,Min -14°C temperature.,最小-14℃の温度。
Card/cardrequirement_091,Text,,At least 3 science tags.,サイエンスタグを3つ以上
Card/cardrequirement_093,Text,,Min -10°C temperature.,Min -10℃の温度。
Card/cardrequirement_094,Text,,At least 5 science tags.,サイエンスタグを5つ以上
Card/cardrequirement_108,Text,,Requires 12% oxygen.,12%の酸素を必要とする。
Card/cardrequirement_114,Text,,Min 7% oxygen.,酸素7％以上
Card/cardrequirement_116,Text,,Min -6°C temperature.,Min -6℃の温度。
Card/cardrequirement_118,Text,,Min +4°C temperature.,Min +4℃の温度。
Card/cardrequirement_119,Text,,Max 3 ocean tiles placed.,最大3枚の海洋タイルを配置。
Card/cardrequirement_122,Text,,At least 3 ocean tiles placed.,海洋タイルを3枚以上配置する。
Card/cardrequirement_128,Text,,Requires that you have a greenery tile.,緑地タイルがあることが条件です。
Card/cardrequirement_129,Text,,Min 5% oxygen.,酸素5％以上
Card/cardrequirement_130,Text,,Min 4% oxygen.,酸素4％以上
Card/cardrequirement_131,Text,,Min 3% oxygen.,酸素3％以上
Card/cardrequirement_132,Text,,At least 2 power tags.,電力タグを2枚以上
Card/cardrequirement_133,Text,,Min -14°C temperature.,最小-14℃の温度。
Card/cardrequirement_134,Text,,Max -10°C temperature.,最高-10℃の温度。
Card/cardrequirement_135,Text,,"At least 1 plant tag, microbe tag, and animal tag.",植物タグ、微生物タグ、動物タグを最低1つずつ。
Card/cardrequirement_136,Text,,At least 4 ocean tiles placed.,海洋タイルを4枚以上配置する。
Card/cardrequirement_139,Text,,At least 3 ocean tiles placed.,海洋タイルを3枚以上配置する。
Card/cardrequirement_145,Text,,At least 2 science tags.,サイエンスタグが2つ以上あること。
Card/cardrequirement_146,Text,,At least 3 ocean tiles placed.,海洋タイルを3枚以上配置する。
Card/cardrequirement_147,Text,,Min 8% oxygen.,酸素8％以上
Card/cardrequirement_148,Text,,Min 6% oxygen.,酸素6％以上
Card/cardrequirement_150,Text,,At least 7 science tags.,科学タグが7つ以上あること。
Card/cardrequirement_154,Text,,Min 0°C temperature.,Min 0℃の温度。
Card/cardrequirement_155,Text,,Max -14°C temperature.,最高-14℃の温度。
Card/cardrequirement_159,Text,,Min -24°C temperature.,最小-24℃の温度。
Card/cardrequirement_160,Text,,At least 2 power tags.,電力タグを2枚以上
Card/cardrequirement_166,Text,,Min 5% oxygen.,酸素5％以上
Card/cardrequirement_168,Text,,Min 7% oxygen.,酸素7％以上
Card/cardrequirement_169,Text,,Min -6°C temperature.,Min -6℃の温度。
Card/cardrequirement_176,Text,,Min -20°C temperature.,Min -20℃の温度。
Card/cardrequirement_177,Text,,At least 2 ocean tiles placed.,海洋タイルを2枚以上配置する。
Card/cardrequirement_181,Text,,Min +2°C temperature.,Min +2℃の温度。
Card/cardrequirement_183,Text,,Min 6% oxygen.,酸素6％以上
Card/cardrequirement_184,Text,,Min 9% oxygen.,最小9%の酸素
Card/cardrequirement_186,Text,,At least 2 cities placed.,少なくとも2都市が配置されている。
Card/cardrequirement_191,Text,,Min -8°C temperature.,Min -8℃の温度。
Card/cardrequirement_193,Text,,At least 2 science tags.,サイエンスタグが2つ以上あること。
Card/cardrequirement_208,Text,,At least 3 science tags.,サイエンスタグを3つ以上
Card/cardrequirement_P38,Text,,Oxygen must be 4% or lower.,酸素は4％以下であること。
Card/cardrequirement_P39,Text,,Requires temperature -20°C or colder.,20℃以下が必要です。
Card/cardrequirement_P42,Text,,Requires 2 Earth tags.,アースタグが2個必要です。
Card/cardvpdescription_001,Text,,2 VPs,2 VP
Card/cardvpdescription_002,Text,,1 VP,1 VP
Card/cardvpdescription_005,Text,,Add 3 VPs for one or more science resources on this card.,このカードの科学資源1つ以上について、3VPを追加する。
Card/cardvpdescription_008,Text,,Add 1 VP for each ocean tile adjacent to the Capital tile,首都タイルに隣接する海洋タイル1枚につき1VP追加
Card/cardvpdescription_012,Text,,Add 1 VP for each Jovian tag you have.,あなたが持っている木星タグ1枚につき、VPを1追加する。
Card/cardvpdescription_013,Text,,2 VPs,2 VP
Card/cardvpdescription_016,Text,,1 VP,1 VP
Card/cardvpdescription_018,Text,,2 VPs,2 VP
Card/cardvpdescription_021,Text,,3 VPs,3 VP
Card/cardvpdescription_024,Text,,Add 1 VP for each animal on this card.,このカードに描かれている動物1匹につきVPを1追加する。
Card/cardvpdescription_025,Text,,1 VP,1 VP
Card/cardvpdescription_026,Text,,1 VP,1 VP
Card/cardvpdescription_027,Text,,4 VPs,4 VP
Card/cardvpdescription_028,Text,,Add 1 VP for each fighter on this card.,このカードのファイター1体につき、VPを1追加する。
Card/cardvpdescription_035,Text,,Add 1 VP for every 2 microbes on this card.,このカードに描かれている微生物2個につきVPを1追加する。
Card/cardvpdescription_038,Text,,1 VP,1 VP
Card/cardvpdescription_040,Text,,2 VPs,2 VP
Card/cardvpdescription_041,Text,,1 VP,1 VP
Card/cardvpdescription_044,Text,,1 VP,1 VP
Card/cardvpdescription_046,Text,,1 VP,1 VP
Card/cardvpdescription_049,Text,,Add 1 VP per 4 microbes on this card.,このカードに描かれている微生物4個につきVPを1追加する。
Card/cardvpdescription_051,Text,,1 VP,1 VP
Card/cardvpdescription_052,Text,,Add 1 VP for each animal on this card.,このカードに描かれている動物1匹につきVPを1追加する。
Card/cardvpdescription_053,Text,,2 VPs,2 VP
Card/cardvpdescription_054,Text,,Add 1 VP per 2 animals on this card.,このカードに描かれている動物2匹につきVPを1追加する。
Card/cardvpdescription_055,Text,,1 VP,1 VP
Card/cardvpdescription_057,Text,,1 VP,1 VP
Card/cardvpdescription_058,Text,,1 VP,1 VP
Card/cardvpdescription_059,Text,,1 VP,1 VP
Card/cardvpdescription_060,Text,,1 VP,1 VP
Card/cardvpdescription_069,Text,,1 VP,1 VP
Card/cardvpdescription_070,Text,,2 VPs,2 VP
Card/cardvpdescription_072,Text,,Add 1 VP for each animal on this card.,このカードに描かれている動物1匹につきVPを1追加する。
Card/cardvpdescription_073,Text,,1 VP,1 VP
Card/cardvpdescription_081,Text,,1 VP per Jovian Tag you have.,所持している木星タグ1枚につき1VP。
Card/cardvpdescription_082,Text,,2 VPs,2 VP
Card/cardvpdescription_084,Text,,1 VP,1 VP
Card/cardvpdescription_085,Text,,1 VP per adjacent city tile.,隣接する都市タイル1枚につき1VP。
Card/cardvpdescription_090,Text,,1 VP,1 VP
Card/cardvpdescription_091,Text,,2 VPs,2 VP
Card/cardvpdescription_092,Text,,1 VP per Jovian tag you have.,木星タグ1枚につき1VP。
Card/cardvpdescription_095,Text,,2 VP per each science resource on this card.,このカードの科学資源1つにつき、2VP。
Card/cardvpdescription_097,Text,,-2 VPs,-2 VP
Card/cardvpdescription_098,Text,,2 VPs,2 VP
Card/cardvpdescription_108,Text,,1 VP,1 VP
Card/cardvpdescription_112,Text,,-2 VPs,-2 VP
Card/cardvpdescription_113,Text,,1 VP,1 VP
Card/cardvpdescription_114,Text,,2 VPs,2 VP
Card/cardvpdescription_116,Text,,1 VP,1 VP
Card/cardvpdescription_118,Text,,2 VPs,2 VP
Card/cardvpdescription_119,Text,,1 VP,1 VP
Card/cardvpdescription_125,Text,,-1 VP,-1 VP
Card/cardvpdescription_128,Text,,1 VP per 2 animals on this card.,このカードに描かれている動物2匹につき1VP。
Card/cardvpdescription_129,Text,,1 VP,1 VP
Card/cardvpdescription_131,Text,,1 VP per 3 microbes on this card.,このカードに描かれている微生物3個につき1VP。
Card/cardvpdescription_135,Text,,3 VPs,3 VP
Card/cardvpdescription_136,Text,,1 VP,1 VP
Card/cardvpdescription_139,Text,,1 VP,1 VP
Card/cardvpdescription_143,Text,,2 VPs,2 VP
Card/cardvpdescription_145,Text,,1 VP,1 VP
Card/cardvpdescription_147,Text,,1 VP per 2 animals on this card.,このカードに描かれている動物2匹につき1VP。
Card/cardvpdescription_150,Text,,3 VPs,3 VP
Card/cardvpdescription_153,Text,,1 VP,1 VP
Card/cardvpdescription_166,Text,,1 VP,1 VP
Card/cardvpdescription_168,Text,,1 VP,1 VP
Card/cardvpdescription_169,Text,,2 VPs,2 VP
Card/cardvpdescription_172,Text,,1VP per 2 animals on this card.,このカードに描かれている動物2匹につき1VP。
Card/cardvpdescription_176,Text,,1 VP,1 VP
Card/cardvpdescription_178,Text,,-1 VP,-1 VP
Card/cardvpdescription_179,Text,,1 VP,1 VP
Card/cardvpdescription_182,Text,,-2 VPs,-2 VP
Card/cardvpdescription_183,Text,,-1 VP,-1 VP
Card/cardvpdescription_184,Text,,1 VP for each animal on this card.,このカードに描かれている動物1匹につき1VP。
Card/cardvpdescription_185,Text,,1 VP,1 VP
Card/cardvpdescription_186,Text,,1 VP,1 VP
Card/cardvpdescription_188,Text,,-1 VP,-1 VP
Card/cardvpdescription_195,Text,,-1 VP,-1 VP
Card/cardvpdescription_196,Text,,1 VP,1 VP
Card/cardvpdescription_197,Text,,2 VPs,2 VP
Card/cardvpdescription_198,Text,,1 VP for every 3rd city in play.,3つ目の都市がプレイされるごとに1VP。
Card/cardvpdescription_201,Text,,-1 VP,-1 VP
Card/cardvpdescription_207,Text,,1 VP,1 VP
Card/cardvpdescription_208,Text,,1 VP,1 VP
Card/cardvpdescription_P36,Text,,1 VP,1 VP
Card/cardvpdescription_P38,Text,,1 VP,1 VP
Card/cardvpdescription_P41,Text,,1 VP,1 VP
Corporation/cardaction_02,Text,,ACTION: If your Terraform Rating was raised this generation you may pay 3 M€ to raise it by 1 step more.,アクション：この世代にあなたのテラフォーム評価が上がっていた場合、3M€を支払うことでさらに1段階上げることができます。
Corporation/cardaction_1015,Text,,ACTION: Spend 4 M€ to increase (one of) your LOWEST PRODUCTION 1 step.,アクション：4M€を使い、あなたの「最低生産量」を1段階増加させます。
Corporation/carddescription_01,Text,,"You start with 42 M€. Instead of participating in the first research phase, draw 10 cards for free.  ",42M€でスタートします。最初の研究フェイズに参加する代わりに、無料で10枚のカードを引きます。  
Corporation/carddescription_02,Text,,You start with 40 M€.,40M€からスタートです。
Corporation/carddescription_03,Text,,"You start with 2 plant production, 3 plants, and 36 M€.",2植物生産、3植物生産、36M€でスタートします。
Corporation/carddescription_04,Text,,You start with 1 titanium production and 42 M€.,チタンの生産量1個、42M€からスタートします。
Corporation/carddescription_05,Text,,You start with 60 M€.,60M€からスタートです。
Corporation/carddescription_06,Text,,You start with 3 heat production and 42 M€.,熱生産量3回、42M€からスタートします。
Corporation/carddescription_07,Text,,"As your first action in the game, draw 3 cards. Start with 45 M€.",ゲームの最初の行動として、カードを3枚引きます。45M€でスタートします。
Corporation/carddescription_08,Text,,You start with 10 titanium and 23 M€.,チタン10個と23M€からスタートします。
Corporation/carddescription_09,Text,,"You start with 40 M€. As your first action in the game, place a city tile.",あなたは40M€でスタートします。ゲームの最初の行動として、都市タイルを配置します。
Corporation/carddescription_10,Text,,You start with 1 energy production and 48 M€.,エネルギー生産量1、48M€からスタートします。
Corporation/carddescription_1013,Text,,You start with 44 M€ and 3 M€ production.,44M€でスタートし、3M€の生産。
Corporation/carddescription_1014,Text,,You start with 38 M€ and 1 titanium production.,38M€で、チタンの生産量が1個の状態からスタートします。
Corporation/carddescription_1015,Text,,You start with 47 M€.,47M€からスタートです。
Corporation/carddescription_1016,Text,,"You start with 37 M€. As your first action, draw 3 Prelude cards, and play one of them. Discard the other two.",あなたは37M€でスタートします。最初のアクションとして、プレリュードカードを3枚引き、そのうちの1枚をプレイします。残りの2枚は捨て札にします。
Corporation/carddescription_1017,Text,,"You start with 45 M€. As your first action, fund an award for free.",45M€でスタートします。最初のアクションとして、無料でアワードに出資してください。
Corporation/carddescription_11,Text,,You start with 20 steel and 30 M€.,20本の鋼材と30M€の資金でスタートします。
Corporation/carddescription_12,Text,,You start with 57 M€.,57M€からスタートです。
Corporation/carddescription_13,Text,,"You start with 30 M€, 5 steel, and 1 steel production.",30M€、鋼鉄5本、鋼鉄生産1本でスタートします。
Corporation/cardeffect_03,Text,,"EFFECT: You may always pay 7 plants, instead of 8, to place 1 greenery.",効果：あなたは常に、8ではなく7の植物を支払って、緑地を1つ置くことができます。
Corporation/cardeffect_04,Text,,"EFFECT: Each time any Jovian tag is put into play, including this one, increase your M€ production by 1 step.",効果：これを含む木星タグが場に出るたび、自分のM€生産量を1段階増加させる。
Corporation/cardeffect_05,Text,,"EFFECT: When playing an Earth card, you pay 3 M€ less for it.",効果：地球カードをプレイするとき、その対価として支払う金額が3M€少なくなります。
Corporation/cardeffect_06,Text,,EFFECT: You may use heat as M€. You may not use M€ as heat.,効果：熱をM€として使用することができます。M€を熱として使用することはできません。
Corporation/cardeffect_07,Text,,"EFFECT: Your temperature, oxygen, and ocean requirements are +2 or -2 steps, your choice in each case.",効果：気温、酸素、海洋の必要量が+2または-2段階となり、それぞれのケースで選択することができます。
Corporation/cardeffect_08,Text,,EFFECT: Your titanium resources are each worth 1 M€ more.,効果：チタン資源の価値がそれぞれ1M€増加します。
Corporation/cardeffect_09,Text,,"EFFECT: When any city tile is placed ON MARS, increase your M€ production by 1 step. When you place a city tile, gain 3 M€.",効果：いずれかの都市タイルが火星に配置されたとき、自分のM€生産量を1段階増やします。自分が都市タイルを配置した時、3M€獲得。
Corporation/cardeffect_10,Text,,"EFFECT: When playing a power card OR THE STANDARD PROJECT POWER PLANT, you pay 3 M€ less for it.",効果：電力カードや「スタンダード・プロジェクト・電力・プラント」をプレイする場合、3M€少なく支払います。
Corporation/cardeffect_1013,Text,,"EFFECT: When you play a building tag, you pay 2 M€ less for it.",効果：建物タグのカードをプレイした場合、その支払いは2M€安くなります。
Corporation/cardeffect_1014,Text,,"EFFECT: When you play an Earth tag, including this, draw a card.",効果：これを含む地球タグのカードをプレイしたとき、カードを1枚引く。
Corporation/cardeffect_1016,Text,,"EFFECT: When you play a science tag, you pay 2 M€ less for it.",効果：科学タグのカードをプレイするとき、その代金が2M€安くなります。
Corporation/cardeffect_1017,Text,,"EFFECT: When you play a card with a NON-NEGATIVE VP icon, including this, gain 3 M€.",効果：このカードを含む、マイナスでないVPアイコンを持つカードをプレイした時、3M€を獲得します。
Corporation/cardeffect_11,Text,,"EFFECT: Each time you play an event, you gain 2 M€.",効果：イベントをプレイするたびに、2M€を獲得することができます。
Corporation/cardeffect_12,Text,,"EFFECT: After you pay for a card or standard project with a basic cost of 20 M€ or more, you gain 4 M€.",効果：基本コスト20M€以上のカードやスタンダードプロジェクトの支払いを行った後、4M€を獲得することができます。
Corporation/cardeffect_13,Text,,"EFFECT: Each time you get any steel or titanium as a placement bonus on the map, increase your steel production by 1 step.",効果：マップ上の配置ボーナスで鋼やチタンを得るたびに、自分の鋼の生産量を1段階増やします。
Corporation/cardflavor_01,Text,,"This is a standard corporation, doing standard things. There are no special effects or actions to keep track of. This is a good corporation to start with if you are terraforming a planet for the first time.",これは標準的な企業で、標準的なことをやっているのです。特別な効果やアクションがあるわけではありません。初めて惑星をテラフォーミングする場合、この会社から始めると良いでしょう。
Corporation/cardflavor_02,Text,,"UNMI is the organisation carrying out the World Government's own terraforming projects. After the terraforming announcment, the UNMI got competition from different corporations, but is still a major force behind Mars' development.",UNMIは世界政府独自のテラフォーミングプロジェクトを遂行する組織である。テラフォーミングの発表後、UNMIは様々な企業との競争にさらされたが、火星の発展を支える大きな力であることに変わりはない。
Corporation/cardflavor_03,Text,,"Having developed a fast-growing lichen suitable for early terraforming, this corporation's ambition is to lead the taming of the planets, despite its relatively small size.",早期のテラフォーミングに適した成長の早い地衣類を開発し、比較的小規模ながら惑星のテイムをリードする野望を抱いている企業。
Corporation/cardflavor_04,Text,,"Having acquired the mining rights on several of Saturn's moons, Saturn Systems gained plenty of experience over the years. As a supplier of rare metals, space ships, and fuel, the company has made itself indispensible to the outer planets. Saturn Systems is now ready to play a key role in the terraforming of Mars.",土星のいくつかの衛星の採掘権を獲得し、長年にわたって豊富な経験を積んできた。レアメタル、宇宙船、燃料のサプライヤーとして、外惑星に欠かせない存在となっている。そして今、サターン・システムズは火星のテラフォーミングに重要な役割を果たそうとしているのです。
Corporation/cardflavor_05,Text,,"Influence enough to control entire nations, and an army of lawyers and businessman, has taken Teractor all the way to the top. And now the sky is calling. The strongest corporation on Earth wants to dominate space too...",国家を支配するほどの影響力と 弁護士や実業家の軍団が テラクターを頂点に押し上げたのですそして今、空は呼んでいる。地球最強の企業は、宇宙をも支配しようとしている...。
Corporation/cardflavor_06,Text,,"Developers of ultra-light solar sails, Helion now turns to the terraforming of Mars and other worlds. It promises to be a rewarding business, as Helion has already made a working model of a soletta, focusing sunlight down to the frozen planet.",超軽量ソーラーセイルの開発者であるHelion社は、現在、火星や他の惑星のテラフォーミングに取り組んでいます。ヘリオンはすでに、凍てつく惑星に太陽光を集めるソレッタの実用モデルを作っており、このビジネスは実りあるものになると期待されています。
Corporation/cardflavor_07,Text,,"Inventrix uses brains, as well as muscle, when competing with other mega-corps. Its motto being: 'Do it right,' Inventrix is focused on research.",インベントリックスは、筋肉だけでなく、頭脳も使って他のメガ・企業と競争している。インベントリックスは、「Do it right」をモットーに、研究に力を注いでいる。
Corporation/cardflavor_08,Text,,"Aiming to be the leader in space solutions for the Mars era, PhoboLog acquired several national space programs. This allowed them access to pre-existing infrastructure and technology, and they are not going to let that advantage be wasted.",火星時代の宇宙ソリューションのリーダーを目指し、フォボログはいくつかの国の宇宙開発計画を買収した。その結果、既存のインフラや技術にアクセスできるようになり、そのアドバンテージを無駄にするつもりはないようです。
Corporation/cardflavor_09,Text,,"With the first big city came a social community that could not be controlled by the corporations. Determined to have an elected leader, workers and staff from all corporations formed Tharsis Republic.",最初の大都市では、企業によってコントロールされない社会的コミュニティが生まれた。選挙で選ばれたリーダーを持つことを決意し、すべての企業の労働者とスタッフがサーシス共和国を結成した。
Corporation/cardflavor_10,Text,,"As oil reserves ran out on Earth, Nordic ThorGate emerged as the new world leader in the energy field, with their cutting edge technology. Now that the colonies on Mars are growing, ThorGate leads the way in finding viable energy solutions.",地球上の石油が枯渇する中、北欧のソーゲート社は最先端の技術でエネルギー分野の新たな世界的リーダーとして登場した。火星のコロニーが増えつつある今、ソーゲートは現実的なエネルギー解決策を見出す道を切り拓いている。
Corporation/cardflavor_1013,Text,,"Asian contractor Mars Wall took an early lead in the construction of colonies and industries on Mars, making them a power to be reckoned with",アジアのコントラクター「マーズウォール」は、火星でのコロニーや産業の建設に早くから着手し、侮れない存在となっていた
Corporation/cardflavor_1014,Text,,"The Moon is a perfect springboard to the solar system, and the mining company Point Luna has the largest spaceport on Luna, making it a perfect partner for Earth inventors wanting to realize their space projects",月は太陽系への完璧な踏み台であり、鉱山会社ポイントルナはルナで最大の宇宙港を持ち、宇宙プロジェクトを実現したい地球人発明家にとって完璧なパートナーである
Corporation/cardflavor_1015,Text,,"Buying into diverse businesses, Robinson Industries is soon expected to influence all aspects of Martian life",ロビンソン・インダストリーは、火星での生活のあらゆる側面に影響を与えることが期待されている。
Corporation/cardflavor_1016,Text,,A community of technological entrepreneurs join forces to invest in space exploration.,技術系起業家のコミュニティが力を合わせ、宇宙開発への投資を行う。
Corporation/cardflavor_1017,Text,,"A corporation grown from crowd funding of new innovations. Always inclined to initiate projects that can gain public support, as well as innovation prizes.",新しいイノベーションを生み出すクラウドファンディングから生まれた企業。イノベーションのアワードだけでなく、社会的な支持を得られるようなプロジェクトに常に傾倒している。
Corporation/cardflavor_11,Text,,"Finding funding where nations struggled, IC initiated the colonisation of Mars by turning the process into a soap opera infused with plenty of advertising. With the media's attention and a head start in colonisation, IC sets out to terraform.",火星植民地化計画をソープオペラに仕立て、宣伝に努めた。マスコミの注目を集め、植民地化の先陣を切ったICは、テラフォーミングに乗り出す。
Corporation/cardflavor_12,Text,,"Multibillionaire Bard Hunter likes terraforming, especially when it involves hurling asteroids at Mars. He also has a hunch that it's going to pay off. His company CrediCor has all the resources he needs to jump right into the contest.",億万長者のバルド・ハンターはテラフォーミングが好きで、特に火星に小惑星をぶつけるのが好きだ。特に火星に小惑星をぶつけるようなテラフォーミングが好きなのだ。彼の会社クレディコアには、このコンテストに参加するために必要なすべての資源が揃っている。
Corporation/cardflavor_13,Text,,"The earliest private enterprises on Mars focused on mining and exporting minerals off the surface. As the mega-corporations arrive to terraform, the miners unite in the Guild to defend their interests. With their expertise and knowledge of the planet they will be a worthy contender in the race.",火星での最初の民間企業は、地表の鉱物の採掘と輸出に重点を置いていた。巨大企業がテラフォーミングを行うようになると、鉱夫たちは自分たちの利益を守るためにギルドで団結する。彼らの専門知識と火星に関する知識で、彼らは競争相手としてふさわしい存在となる。
Corporation/cardname_01,Text,,Beginner Corporation,ビギナーコーポレーション
Corporation/cardname_02,Text,,United Nations Mars Initiative,国連火星探査計画
Corporation/cardname_03,Text,,Ecoline,エコライン
Corporation/cardname_04,Text,,Saturn Systems,サターンシステムズ
Corporation/cardname_05,Text,,Teractor,テラクター
Corporation/cardname_06,Text,,Helion,ヘリオン
Corporation/cardname_07,Text,,Inventrix,インベントリックス
Corporation/cardname_08,Text,,PhoboLog,フォボログ
Corporation/cardname_09,Text,,Tharsis Republic,サーシス共和国
Corporation/cardname_10,Text,,ThorGate,ThorGate
Corporation/cardname_1013,Text,,Cheung Shing Mars,チョンシン・マーズ
Corporation/cardname_1014,Text,,Point Luna,ポイント・ルナ
Corporation/cardname_1015,Text,,Robinson Industries,ロビンソン・インダストリー
Corporation/cardname_1016,Text,,Valley Trust,バレー・トラスト
Corporation/cardname_1017,Text,,Vitor,ヴィトール
Corporation/cardname_11,Text,,Interplanetary Cinematics,惑星間シネマティクス
Corporation/cardname_12,Text,,CrediCor,クレディコア
Corporation/cardname_13,Text,,Mining Guild,マイニングギルド
Credits/Artefacts,Text,,"<color=#fff>CEO</color>
Bruno Chabanel<br>
<color=#fff>Production Director</color>
Olivier Gaudino<br>
<color=#fff>Technical Directors</color>
Jérôme Pichard
Cédric Guérin<br>
<color=#fff>Art Director</color>
Jean-Marie Godeau<br>
<color=#fff>Manager Game Design</color>
Nicolas Dejeans<br>
<color=#fff>Executive Producer</color>
Raphaël Parra<br>
<color=#fff>Producer</color>
Tom Lenourichel<br>
<color=#fff>Developers</color>
Loïc Meunier
Benoît Pelletier
Quentin Mandou
Mathieu Brochado<br>
<color=#fff>Game Designer</color>
Clémentine Bonnet<br>
<color=#fff>3D Artists</color>
David Frappaz
Emmanuel Blanc<br>
<color=#fff>UI Artist</color>
Marie Abrino<br>
<color=#fff>QA</color>
Arnaud Henry de Villeneuve<br>",
